Temperatura,Vibracion,Uso,RiskScore,Estado_Codigo,Estado_Nombre
44.11,2.13,62.44,0.3513,1,PREVENTIVO
33.41,1.87,40.04,0.2325,0,NORMAL
39.3,0.55,22.07,0.171,0,NORMAL
33.95,0.07,28.49,0.1435,0,NORMAL
41.73,1.01,19.08,0.1917,0,NORMAL
34.96,0.32,44.22,0.1965,0,NORMAL
20.86,0.99,41.04,0.1414,0,NORMAL
20.87,1.61,17.46,0.1042,0,NORMAL
34.77,0.13,30.85,0.1554,0,NORMAL
26.77,0.82,51.87,0.1921,0,NORMAL
32.13,1.88,55.76,0.2659,0,NORMAL
28.07,0.2,11.07,0.0752,0,NORMAL
37.26,2.5,29.25,0.2469,1,PREVENTIVO
40.8,1.95,45.85,0.287,0,NORMAL
44.14,2.37,20.96,0.2562,1,PREVENTIVO
20.65,0.38,16.94,0.0589,0,NORMAL
41.42,1.41,21.99,0.2114,0,NORMAL
42.38,1.92,19.23,0.2271,0,NORMAL
39.43,1.87,16.3,0.2034,0,NORMAL
46.22,2.41,15.95,0.2554,1,PREVENTIVO
20.82,0.78,47.25,0.1495,0,NORMAL
50.66,0.99,49.33,0.3113,1,PREVENTIVO
22.43,1.73,44.5,0.1838,0,NORMAL
23.26,1.93,56.77,0.2258,0,NORMAL
39.21,0.3,64.11,0.2669,1,PREVENTIVO
45.04,0.87,33.56,0.2395,0,NORMAL
31.86,1.26,28.77,0.1755,0,NORMAL
47.19,2.06,15.8,0.2474,1,PREVENTIVO
50.75,1.59,55.58,0.3483,1,PREVENTIVO
42.63,1.09,50.36,0.2772,0,NORMAL
50.9,0.68,54.45,0.3142,1,PREVENTIVO
37.22,1.21,33.96,0.2133,0,NORMAL
43.39,0.67,56.84,0.2826,0,NORMAL
46.58,0.22,58.49,0.2867,0,NORMAL
27.8,1.16,43.57,0.1886,0,NORMAL
32.13,0.07,56.8,0.2052,0,NORMAL
25.82,0.53,53.88,0.1824,0,NORMAL
30.89,2.2,48.57,0.2529,1,PREVENTIVO
28.84,0.03,62.14,0.2004,1,PREVENTIVO
22.74,1.8,36.87,0.1689,0,NORMAL
44.26,1.73,45.52,0.2955,0,NORMAL
35.71,1.98,15.12,0.1857,0,NORMAL
27.09,1.73,26.84,0.1631,0,NORMAL
38.61,1.18,39.2,0.2325,0,NORMAL
33.62,1.86,28.19,0.2038,0,NORMAL
42.49,0.68,23.83,0.1957,0,NORMAL
23.86,0.48,16.58,0.0776,0,NORMAL
37.15,1.91,20.18,0.2029,0,NORMAL
26.92,1.21,49.85,0.2016,0,NORMAL
51.25,1.31,25.56,0.2661,1,PREVENTIVO
23.22,0.49,22.51,0.0893,0,NORMAL
25.74,0.04,39.38,0.1284,0,NORMAL
28.78,2.44,40.43,0.2302,1,PREVENTIVO
42.32,0.32,57.77,0.267,0,NORMAL
35.71,2.18,41.57,0.2588,1,PREVENTIVO
35.02,1.1,20.14,0.164,0,NORMAL
21.64,2.35,36.28,0.1813,1,PREVENTIVO
46.31,1.0,14.07,0.2018,0,NORMAL
40.14,0.13,18.21,0.1509,0,NORMAL
38.01,0.76,64.67,0.2783,1,PREVENTIVO
23.79,1.91,43.35,0.1942,0,NORMAL
45.3,0.56,38.74,0.2431,0,NORMAL
34.42,1.11,57.31,0.2541,0,NORMAL
51.68,0.76,44.16,0.2955,1,PREVENTIVO
39.51,1.85,62.12,0.3176,1,PREVENTIVO
26.65,0.53,46.32,0.1675,0,NORMAL
25.03,0.43,14.13,0.0757,0,NORMAL
20.09,1.13,42.66,0.1465,0,NORMAL
29.32,0.58,48.88,0.1891,0,NORMAL
42.5,1.14,47.81,0.2717,0,NORMAL
49.57,1.97,44.38,0.3277,0,NORMAL
41.16,2.33,33.38,0.2709,1,PREVENTIVO
37.43,1.62,59.96,0.2937,0,NORMAL
46.45,0.18,19.13,0.1863,0,NORMAL
29.84,1.87,41.31,0.218,0,NORMAL
29.24,0.31,47.88,0.1768,0,NORMAL
42.39,2.36,37.53,0.2883,1,PREVENTIVO
35.8,0.2,12.19,0.1165,0,NORMAL
33.82,0.81,23.77,0.1568,0,NORMAL
22.92,2.4,55.98,0.2387,1,PREVENTIVO
38.41,2.38,64.98,0.3377,1,PREVENTIVO
41.51,0.67,12.21,0.1617,0,NORMAL
44.2,1.18,45.83,0.2768,0,NORMAL
49.31,0.45,42.19,0.2679,0,NORMAL
40.31,1.23,15.02,0.1821,0,NORMAL
31.13,0.83,46.86,0.202,0,NORMAL
47.45,0.82,48.15,0.2865,0,NORMAL
29.22,2.36,54.75,0.2657,1,PREVENTIVO
37.6,1.14,27.3,0.1961,0,NORMAL
30.34,2.43,32.23,0.2172,1,PREVENTIVO
36.47,2.47,46.17,0.2842,1,PREVENTIVO
37.36,1.03,20.32,0.1738,0,NORMAL
31.58,1.89,44.4,0.2351,0,NORMAL
44.32,0.51,40.21,0.2399,0,NORMAL
49.69,1.1,48.4,0.3078,0,NORMAL
23.89,2.43,43.49,0.2133,1,PREVENTIVO
27.66,0.4,40.3,0.1529,0,NORMAL
37.67,0.23,64.57,0.258,1,PREVENTIVO
49.21,1.15,16.46,0.2276,0,NORMAL
46.63,1.25,49.41,0.3003,0,NORMAL
36.28,0.68,55.91,0.2451,0,NORMAL
51.37,0.61,40.32,0.279,1,PREVENTIVO
32.27,2.3,37.95,0.2369,1,PREVENTIVO
48.14,2.16,25.19,0.2793,1,PREVENTIVO
45.28,1.04,61.38,0.3162,1,PREVENTIVO
36.25,2.05,25.56,0.2169,1,PREVENTIVO
29.55,1.47,64.94,0.2615,1,PREVENTIVO
35.67,0.37,39.62,0.1904,0,NORMAL
31.04,1.38,39.89,0.2032,0,NORMAL
34.57,0.8,20.38,0.152,0,NORMAL
42.32,1.43,22.85,0.2187,0,NORMAL
44.82,0.11,50.96,0.2553,0,NORMAL
42.57,2.03,31.23,0.2619,1,PREVENTIVO
41.24,2.05,63.94,0.3379,1,PREVENTIVO
35.85,0.09,37.63,0.1766,0,NORMAL
38.89,2.17,58.08,0.3157,1,PREVENTIVO
34.09,1.31,35.13,0.2043,0,NORMAL
43.12,1.02,46.01,0.2665,0,NORMAL
24.94,1.17,63.31,0.224,1,PREVENTIVO
30.83,1.73,45.74,0.2291,0,NORMAL
47.26,2.13,57.26,0.354,1,PREVENTIVO
32.16,0.79,49.53,0.2123,0,NORMAL
44.3,2.18,11.97,0.2278,1,PREVENTIVO
22.19,1.58,60.65,0.2178,1,PREVENTIVO
51.92,1.87,33.87,0.3096,1,PREVENTIVO
23.15,1.58,57.99,0.2162,0,NORMAL
34.2,1.74,59.69,0.2809,0,NORMAL
21.47,1.99,26.14,0.1424,0,NORMAL
31.99,0.36,39.21,0.1707,0,NORMAL
38.11,1.98,19.35,0.2083,0,NORMAL
22.53,2.18,44.08,0.199,1,PREVENTIVO
27.71,2.28,17.87,0.1631,1,PREVENTIVO
34.76,0.63,24.04,0.1561,0,NORMAL
20.3,2.01,59.57,0.2208,1,PREVENTIVO
41.68,0.39,34.3,0.208,0,NORMAL
31.06,1.47,45.14,0.2196,0,NORMAL
33.58,0.63,56.49,0.231,0,NORMAL
26.37,0.96,36.58,0.157,0,NORMAL
27.59,1.43,41.61,0.192,0,NORMAL
51.77,0.74,63.79,0.3441,1,PREVENTIVO
41.06,0.69,41.13,0.2321,0,NORMAL
41.95,1.86,12.7,0.2066,0,NORMAL
39.41,1.24,59.73,0.2898,0,NORMAL
29.16,2.0,43.39,0.2242,0,NORMAL
31.27,1.59,44.15,0.2224,0,NORMAL
41.69,1.8,46.25,0.2872,0,NORMAL
46.83,1.57,59.69,0.3383,0,NORMAL
40.68,0.77,34.25,0.2161,0,NORMAL
38.55,1.83,14.96,0.1942,0,NORMAL
29.44,1.87,19.66,0.1618,0,NORMAL
24.23,1.35,63.43,0.2269,1,PREVENTIVO
36.99,2.28,55.68,0.3041,1,PREVENTIVO
28.22,2.06,36.5,0.2045,1,PREVENTIVO
45.81,1.87,28.63,0.2659,0,NORMAL
23.69,2.41,17.74,0.147,1,PREVENTIVO
50.93,2.15,49.83,0.3545,1,PREVENTIVO
51.36,2.42,54.25,0.3771,1,PREVENTIVO
31.7,1.98,10.77,0.1546,0,NORMAL
37.17,1.14,47.01,0.2432,0,NORMAL
41.51,1.46,55.23,0.2968,0,NORMAL
50.09,0.27,22.86,0.2171,1,PREVENTIVO
20.8,2.21,40.88,0.1836,1,PREVENTIVO
49.29,0.55,13.48,0.1995,0,NORMAL
46.36,2.27,26.62,0.2779,1,PREVENTIVO
33.07,0.35,62.04,0.2327,1,PREVENTIVO
29.74,1.23,15.35,0.1302,0,NORMAL
48.39,0.34,34.95,0.2412,0,NORMAL
41.46,1.86,62.03,0.3274,1,PREVENTIVO
33.41,1.86,18.5,0.1783,0,NORMAL
33.28,0.25,36.91,0.1673,0,NORMAL
33.06,2.38,11.8,0.1781,1,PREVENTIVO
31.86,1.11,62.28,0.2538,1,PREVENTIVO
47.37,0.25,47.71,0.2648,0,NORMAL
37.42,2.44,29.73,0.247,1,PREVENTIVO
32.74,0.47,16.72,0.1221,0,NORMAL
47.14,1.14,46.45,0.2916,0,NORMAL
40.53,1.49,11.17,0.1829,0,NORMAL
45.18,0.61,16.93,0.1895,0,NORMAL
38.07,0.17,52.08,0.2265,0,NORMAL
26.63,0.54,57.83,0.1966,0,NORMAL
30.51,0.37,59.53,0.2143,0,NORMAL
20.09,2.15,17.96,0.1205,1,PREVENTIVO
24.16,0.63,19.6,0.0917,0,NORMAL
41.15,0.06,10.82,0.1351,0,NORMAL
45.28,0.59,27.81,0.2167,0,NORMAL
25.58,0.13,50.79,0.1595,0,NORMAL
36.83,1.86,36.19,0.2399,0,NORMAL
44.9,1.28,16.0,0.2094,0,NORMAL
36.12,2.36,12.39,0.1943,1,PREVENTIVO
45.06,2.17,38.68,0.2979,1,PREVENTIVO
34.66,2.41,13.35,0.191,1,PREVENTIVO
35.33,1.0,47.74,0.2311,0,NORMAL
35.69,2.27,14.04,0.1931,1,PREVENTIVO
22.59,1.52,13.61,0.1002,0,NORMAL
28.8,1.58,40.16,0.1998,0,NORMAL
30.41,2.49,39.18,0.237,1,PREVENTIVO
34.52,1.51,15.45,0.1642,0,NORMAL
42.46,2.13,45.8,0.3014,1,PREVENTIVO
44.61,1.8,21.83,0.2407,0,NORMAL
34.45,0.57,28.64,0.1638,0,NORMAL
34.51,1.04,15.23,0.147,0,NORMAL
33.66,1.66,30.59,0.2029,0,NORMAL
24.88,2.31,13.69,0.1394,1,PREVENTIVO
46.62,0.23,15.31,0.1795,0,NORMAL
43.64,2.03,40.6,0.2907,1,PREVENTIVO
38.77,1.4,28.13,0.2133,0,NORMAL
23.91,0.88,46.59,0.167,0,NORMAL
44.01,2.17,49.66,0.3201,1,PREVENTIVO
50.99,1.5,29.34,0.2808,1,PREVENTIVO
38.49,0.53,46.12,0.2264,0,NORMAL
27.18,0.27,56.5,0.1866,0,NORMAL
31.76,1.91,41.58,0.2295,0,NORMAL
45.83,2.11,63.6,0.3621,1,PREVENTIVO
46.19,1.53,45.35,0.298,0,NORMAL
20.84,2.32,55.62,0.2245,1,PREVENTIVO
28.56,0.45,48.65,0.1802,0,NORMAL
29.89,0.85,10.34,0.105,0,NORMAL
47.84,1.42,32.04,0.2688,0,NORMAL
24.54,1.58,11.69,0.1073,0,NORMAL
43.88,0.54,33.09,0.2209,0,NORMAL
30.91,0.93,49.69,0.2111,0,NORMAL
44.86,1.42,14.67,0.2106,0,NORMAL
21.68,0.39,43.98,0.1321,0,NORMAL
41.57,0.68,46.41,0.2477,0,NORMAL
35.54,1.11,25.02,0.1789,0,NORMAL
44.16,0.28,33.65,0.2149,0,NORMAL
29.06,1.7,36.76,0.1966,0,NORMAL
41.35,0.11,31.74,0.1901,0,NORMAL
39.18,0.02,26.58,0.163,0,NORMAL
26.76,0.34,24.05,0.1059,0,NORMAL
30.5,0.02,51.09,0.1809,0,NORMAL
25.62,0.95,48.7,0.1831,0,NORMAL
36.01,2.08,54.34,0.2888,1,PREVENTIVO
22.31,2.15,12.33,0.1178,1,PREVENTIVO
20.6,2.3,57.42,0.2271,1,PREVENTIVO
38.42,1.43,49.02,0.2649,0,NORMAL
33.37,0.29,11.15,0.1048,0,NORMAL
30.39,2.0,44.0,0.2321,1,PREVENTIVO
46.62,2.3,14.85,0.2507,1,PREVENTIVO
47.02,0.61,42.39,0.2624,0,NORMAL
36.77,0.99,27.07,0.1861,0,NORMAL
30.86,0.83,19.25,0.1316,0,NORMAL
36.34,0.29,38.05,0.1868,0,NORMAL
48.99,0.87,50.01,0.3005,0,NORMAL
46.21,2.04,22.99,0.2598,1,PREVENTIVO
24.69,0.49,43.13,0.1485,0,NORMAL
44.33,1.64,19.74,0.2283,0,NORMAL
44.73,1.24,51.49,0.2956,0,NORMAL
44.32,1.12,60.83,0.3129,1,PREVENTIVO
38.06,1.59,44.35,0.2568,0,NORMAL
47.66,1.57,18.3,0.2389,0,NORMAL
22.19,1.11,26.66,0.1163,0,NORMAL
28.79,0.14,37.9,0.1436,0,NORMAL
29.93,1.13,13.13,0.122,0,NORMAL
46.61,0.19,57.53,0.2836,0,NORMAL
47.37,1.54,37.89,0.2854,0,NORMAL
34.81,1.39,53.55,0.2564,0,NORMAL
48.67,1.12,54.54,0.319,0,NORMAL
40.86,0.8,36.16,0.2228,0,NORMAL
24.83,0.15,15.69,0.0688,0,NORMAL
48.77,0.86,49.29,0.2971,0,NORMAL
36.15,0.43,23.63,0.1549,0,NORMAL
34.01,1.1,38.75,0.2054,0,NORMAL
25.08,0.93,25.56,0.1219,0,NORMAL
33.08,0.85,42.88,0.2022,0,NORMAL
45.26,1.62,13.63,0.217,0,NORMAL
23.02,1.7,25.63,0.1385,0,NORMAL
43.16,1.64,59.85,0.3229,0,NORMAL
47.94,0.83,42.05,0.274,0,NORMAL
24.53,0.87,63.22,0.2113,1,PREVENTIVO
42.35,0.98,42.73,0.2529,0,NORMAL
50.02,0.77,30.72,0.254,1,PREVENTIVO
45.33,2.03,46.86,0.315,1,PREVENTIVO
46.53,1.85,47.7,0.3165,0,NORMAL
36.84,1.62,33.29,0.224,0,NORMAL
31.58,0.91,19.91,0.1394,0,NORMAL
26.85,2.37,36.74,0.2091,1,PREVENTIVO
27.25,0.34,14.24,0.0839,0,NORMAL
47.02,0.25,52.4,0.275,0,NORMAL
46.72,2.21,12.08,0.2411,1,PREVENTIVO
30.78,1.92,17.21,0.164,0,NORMAL
32.06,0.41,55.72,0.2138,0,NORMAL
44.68,2.02,19.1,0.2419,1,PREVENTIVO
34.01,1.03,47.2,0.224,0,NORMAL
27.6,1.11,25.67,0.141,0,NORMAL
43.95,1.12,39.37,0.2575,0,NORMAL
29.9,2.02,35.8,0.2098,1,PREVENTIVO
46.72,0.92,62.09,0.321,1,PREVENTIVO
51.5,1.15,25.5,0.2617,1,PREVENTIVO
32.22,1.32,63.14,0.2651,1,PREVENTIVO
46.14,2.0,17.61,0.2448,1,PREVENTIVO
28.0,1.6,58.08,0.2413,0,NORMAL
37.75,0.26,56.52,0.239,0,NORMAL
47.24,0.71,51.97,0.2911,0,NORMAL
28.73,2.26,18.1,0.1681,1,PREVENTIVO
34.0,2.37,22.21,0.2083,1,PREVENTIVO
34.44,0.87,11.47,0.1314,0,NORMAL
21.7,1.26,22.97,0.1099,0,NORMAL
51.82,0.94,11.55,0.2208,1,PREVENTIVO
49.79,2.1,45.75,0.3367,1,PREVENTIVO
45.32,0.34,25.78,0.2031,0,NORMAL
46.55,1.74,17.63,0.2378,0,NORMAL
42.58,1.12,10.29,0.1779,0,NORMAL
22.54,0.64,55.92,0.1749,0,NORMAL
37.56,1.82,39.03,0.249,0,NORMAL
23.56,0.72,26.56,0.1094,0,NORMAL
21.53,1.05,53.66,0.1785,0,NORMAL
34.63,0.28,59.78,0.2323,0,NORMAL
39.1,0.04,38.35,0.1928,0,NORMAL
27.74,0.36,33.61,0.1353,0,NORMAL
39.67,0.6,32.91,0.2017,0,NORMAL
41.26,0.21,63.61,0.2728,1,PREVENTIVO
22.17,1.32,37.9,0.1516,0,NORMAL
51.63,1.39,31.47,0.2853,1,PREVENTIVO
35.04,1.59,63.96,0.2907,1,PREVENTIVO
28.12,0.04,53.37,0.1754,0,NORMAL
31.03,1.83,44.55,0.2307,0,NORMAL
44.69,1.84,28.29,0.2585,0,NORMAL
21.42,1.37,54.74,0.1917,0,NORMAL
25.6,1.95,35.55,0.1851,0,NORMAL
42.25,1.58,54.63,0.3031,0,NORMAL
22.02,1.94,35.17,0.1659,0,NORMAL
29.39,0.11,20.97,0.1032,0,NORMAL
21.34,2.33,38.35,0.1842,1,PREVENTIVO
51.65,1.36,23.93,0.2656,1,PREVENTIVO
44.11,0.48,29.63,0.2113,0,NORMAL
44.99,2.16,28.26,0.2713,1,PREVENTIVO
23.98,0.92,58.92,0.1994,0,NORMAL
43.79,2.24,31.27,0.2754,1,PREVENTIVO
51.16,1.24,37.36,0.2926,1,PREVENTIVO
49.58,1.3,54.06,0.3285,0,NORMAL
43.27,0.2,43.13,0.2311,0,NORMAL
46.31,1.36,27.67,0.2485,0,NORMAL
22.56,1.65,26.86,0.1378,0,NORMAL
39.28,1.07,47.94,0.2535,0,NORMAL
31.25,0.11,57.85,0.2046,0,NORMAL
31.28,2.5,25.1,0.2065,1,PREVENTIVO
51.36,2.37,14.13,0.2751,1,PREVENTIVO
40.4,0.91,54.06,0.2689,0,NORMAL
41.74,2.38,17.85,0.2367,1,PREVENTIVO
39.44,1.95,11.91,0.1954,0,NORMAL
22.15,1.95,30.15,0.1542,0,NORMAL
32.25,1.42,43.28,0.2191,0,NORMAL
41.73,2.37,30.46,0.2678,1,PREVENTIVO
44.42,1.43,39.12,0.2701,0,NORMAL
32.74,1.62,23.73,0.1798,0,NORMAL
23.63,1.84,37.45,0.1761,0,NORMAL
32.38,1.4,24.4,0.1721,0,NORMAL
28.33,1.12,64.8,0.2427,1,PREVENTIVO
29.14,2.29,37.02,0.2184,1,PREVENTIVO
23.92,2.13,34.86,0.1814,1,PREVENTIVO
48.76,1.11,14.83,0.2198,0,NORMAL
41.82,2.11,27.58,0.252,1,PREVENTIVO
31.12,0.16,39.82,0.1608,0,NORMAL
48.52,2.13,49.15,0.34,1,PREVENTIVO
49.67,1.59,53.65,0.3383,0,NORMAL
36.28,0.3,21.05,0.1447,0,NORMAL
24.44,1.98,11.45,0.12,0,NORMAL
37.73,0.92,54.2,0.2564,0,NORMAL
37.65,1.53,14.74,0.1787,0,NORMAL
29.9,2.5,49.54,0.2608,1,PREVENTIVO
36.82,1.92,55.28,0.2896,0,NORMAL
22.36,2.43,45.33,0.2102,1,PREVENTIVO
34.4,1.7,28.95,0.2039,0,NORMAL
48.09,1.95,45.19,0.3217,0,NORMAL
25.82,2.42,33.79,0.1981,1,PREVENTIVO
49.14,0.14,16.83,0.1926,0,NORMAL
24.9,0.41,27.75,0.1083,0,NORMAL
42.7,0.87,61.75,0.2981,1,PREVENTIVO
48.64,2.11,23.78,0.2767,1,PREVENTIVO
40.32,1.38,16.88,0.192,0,NORMAL
29.69,1.33,37.64,0.1892,0,NORMAL
25.4,2.35,18.48,0.1556,1,PREVENTIVO
41.08,1.8,43.28,0.2767,0,NORMAL
46.96,1.41,55.39,0.3226,0,NORMAL
20.91,0.11,45.28,0.1217,0,NORMAL
38.46,1.63,52.18,0.2797,0,NORMAL
